mz,rt,Neutral_Operator_Dif_Pos_1x_O1_A,Neutral_Operator_Dif_Pos_1x_O1_B,Neutral_Operator_Dif_Pos_1x_O1_C,Neutral_Operator_Dif_Pos_1x_O2_A,Neutral_Operator_Dif_Pos_1x_O2_B,Neutral_Operator_Dif_Pos_1x_O2_C,Neutral_Operator_Dif_Pos_1x_O3_A,Neutral_Operator_Dif_Pos_1x_O3_B,Neutral_Operator_Dif_Pos_1x_O3_C,Neutral_Operator_Dif_Pos_2x_O1_A,Neutral_Operator_Dif_Pos_2x_O1_B,Neutral_Operator_Dif_Pos_2x_O1_C,Neutral_Operator_Dif_Pos_2x_O2_A,Neutral_Operator_Dif_Pos_2x_O2_B,Neutral_Operator_Dif_Pos_2x_O2_C,Neutral_Operator_Dif_Pos_2x_O3_A,Neutral_Operator_Dif_Pos_2x_O3_B,Neutral_Operator_Dif_Pos_2x_O3_C,Neutral_Operator_Dif_Pos_4x_O1_A,Neutral_Operator_Dif_Pos_4x_O1_B,Neutral_Operator_Dif_Pos_4x_O1_C,Neutral_Operator_Dif_Pos_4x_O2_A,Neutral_Operator_Dif_Pos_4x_O2_B,Neutral_Operator_Dif_Pos_4x_O2_C,Neutral_Operator_Dif_Pos_4x_O3_A,Neutral_Operator_Dif_Pos_4x_O3_B,Neutral_Operator_Dif_Pos_4x_O3_C
488.8071,0.8581483,55882,54659,57289,53455,55567,54337,64864,63505,62312,58828,62493,56671,70990,69389,68576,59544,58893,64952,51495,54505,56378,54380,54243,57755,56555,58777,60126
479.7937,0.85603714,120711,116574,119435,119518,126779,121390,134538,133167,134444,126063,133288,123652,159234,157612,153717,127807,133025,139425,107071,116490,117886,122166,116666,117723,121476,125887,126349
471.7773,0.85422224,40980,41818,41518,40879,42938,42015,47523,44879,45474,43618,46011,42522,54457,55937,51014,43144,45077,45883,38423,39239,41938,41279,40279,42718,43469,43891,43923
501.807,0.859926,115439,110191,115602,111785,118582,114063,125764,126719,125358,119212,125999,119563,152204,154361,144316,119526,124841,127445,103543,110666,114856,113206,112918,108689,117206,121187,119337
534.8112,0.8590001:2,84355,82216,84980,76814,79837,77571,87248,88643,86835,82720,89759,84918,103936,101700,98720,83049,88587,90097,76775,80454,83202,77885,77776,79686,82198,87778,85628
510.8189,0.8624,62157,61404,63568,59241,60055,61509,67031,69632,67428,63888,68882,67195,78369,78401,77555,64381,67102,68514,1,63931,63491,60103,60425,58001,62424,65352,1
447.2605,0.8463333,39863,36312,40943,38545,39903,39137,42639,41216,41977,40950,39585,40780,48255,49149,46632,40658,41824,41433,37475,37098,38149,38207,37727,38791,40388,40391,39311
515.8051,0.86138463,46988,46646,47918,44325,46630,44417,49941,50527,48486,48965,51402,47766,60074,59962,56266,48863,50181,52068,1,45705,48387,44154,44604,43995,47764,49083,50216
458.2771,0.8423703,175308,222012,172458,188405,191522,188551,197741,196532,194024,182413,183993,174207,253060,257718,244180,195961,201109,202026,152795,166475,168653,178522,180716,172726,174154,183363,184907
532.8329,0.8654231,66214,63202,66082,59753,65644,62773,71783,70082,71919,68500,70633,67487,83690,81530,77911,69291,71618,73081,1,66671,66884,64238,63367,60987,67100,70995,67476
523.8202,0.8647037,112408,105250,108917,102523,109104,107250,121075,116385,120428,114514,117748,113998,140695,140817,139725,114447,117123,120450,98462,107811,110680,107076,107388,105257,110697,116828,114171
537.8184,0.865,48120,46481,49215,43567,44838,44079,51905,51823,52414,51158,52700,51123,58630,61339,56104,47773,51827,52082,44772,46152,48818,45866,46787,45714,48840,51371,50470
502.3101,0.83016664,355596,338835,350102,354075,373315,364798,1,1,1,1,366996,1,492913,482256,458180,1,398450,1,311559,1,1,350211,349041,340652,355976,368192,365752
556.8248,0.8641112,79339,75081,81876,73379,78806,73966,86456,85547,85648,83479,87103,83506,97704,99838,95824,80444,86743,85586,76169,80147,83568,75297,77660,76048,76874,82288,84177
532.3322,0.86529624,180709,174371,180713,177907,180758,177303,191727,195160,197225,182645,200970,179357,224429,222216,219470,189725,197110,202931,166394,178855,186015,176217,198755,175116,183647,188576,190522
326.1245,0.872,1,1,26863,97068,97354,97575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
234.1737,0.8704999,201168,198666,202264,887643,910426,893100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
545.8328,0.86918515,99188,96407,102216,94354,96444,94257,108084,107655,109890,104865,110598,103511,128555,127042,123191,102437,109017,109111,91954,99837,99282,97111,97711,97035,99486,105139,107102
537.3166,0.8772222,165738,161257,160430,148534,150969,148726,171443,173718,172047,173086,178977,171267,197233,191515,190750,164869,175094,185606,157291,164708,179257,152514,150936,151243,166029,169900,173395
488.3054,0.85933346,164399,173479,181511,184334,188542,185454,205228,202961,180342,185854,199160,172140,212314,233546,222798,194707,201178,184445,148026,175268,164033,178541,181495,162215,180943,192132,189429
578.8373,0.8691852,76878,71433,76173,66943,71379,68790,78814,77577,77460,76961,84867,77965,90603,92792,86923,76151,80455,79447,71874,76009,78883,69987,69043,70456,72476,80139,77721
